Date,Open,High,Low,Close,Adj Close,Volume,ticker
1992-02-13,2.0,2.09375,2.0,2.046875,1.6649081707000732,18506400,ROP
1992-02-14,2.0625,2.28125,2.0625,2.25,1.8301270008087158,3128000,ROP
1992-02-18,2.21875,2.28125,2.0625,2.0625,1.6776165962219238,2584800,ROP
1992-02-19,2.09375,2.15625,2.03125,2.15625,1.7538714408874512,2454400,ROP
1992-02-20,2.125,2.28125,2.125,2.21875,1.8047080039978027,1304000,ROP
1992-02-21,2.21875,2.28125,2.21875,2.28125,1.8555454015731812,616800,ROP
1992-02-24,2.21875,2.3125,2.21875,2.3125,1.8809638023376465,772800,ROP
1992-02-25,2.265625,2.3125,2.25,2.28125,1.8555454015731812,517600,ROP
1992-02-26,2.3125,2.34375,2.25,2.34375,1.9063831567764282,851200,ROP
1992-02-27,2.28125,2.4375,2.28125,2.40625,1.9572196006774902,555200,ROP
1992-02-28,2.4375,2.59375,2.375,2.53125,2.0588929653167725,1108800,ROP
1992-03-02,2.59375,2.609375,2.46875,2.5625,2.084310531616211,873600,ROP
1992-03-03,2.546875,2.5625,2.4375,2.46875,2.008057117462158,512000,ROP
1992-03-04,2.46875,2.53125,2.4375,2.4375,1.98263680934906,163200,ROP
1992-03-05,2.53125,2.53125,2.34375,2.34375,1.9063831567764282,707200,ROP
1992-03-06,2.390625,2.4375,2.34375,2.34375,1.9063831567764282,765600,ROP
1992-03-09,2.34375,2.4375,2.34375,2.390625,1.9445106983184814,766400,ROP
1992-03-10,2.34375,2.4375,2.34375,2.4375,1.98263680934906,93600,ROP
1992-03-11,2.5,2.53125,2.4375,2.453125,1.9953463077545166,222400,ROP
1992-03-12,2.4375,2.53125,2.4375,2.4375,1.98263680934906,89600,ROP
1992-03-13,2.4375,2.5625,2.4375,2.53125,2.0588929653167725,211200,ROP
1992-03-16,2.5,2.5625,2.5,2.5625,2.084310531616211,94400,ROP
1992-03-17,2.46875,2.5625,2.46875,2.46875,2.008057117462158,150400,ROP
1992-03-18,2.46875,2.46875,2.46875,2.46875,2.008057117462158,52000,ROP
1992-03-19,2.5625,2.5625,2.4375,2.4375,1.98263680934906,68800,ROP
1992-03-20,2.4375,2.53125,2.4375,2.53125,2.0588929653167725,124800,ROP
1992-03-23,2.4375,2.515625,2.4375,2.484375,2.0207643508911133,314400,ROP
1992-03-24,2.46875,2.515625,2.4375,2.4375,1.98263680934906,437600,ROP
1992-03-25,2.53125,2.53125,2.4375,2.46875,2.008057117462158,79200,ROP
1992-03-26,2.40625,2.421875,2.40625,2.40625,1.9572196006774902,47200,ROP
1992-03-27,2.5,2.5,2.4375,2.5,2.0334744453430176,79200,ROP
1992-03-30,2.4375,2.5,2.4375,2.46875,2.008057117462158,46400,ROP
1992-03-31,2.4375,2.5,2.4375,2.5,2.0334744453430176,107200,ROP
1992-04-01,2.4375,2.5,2.40625,2.4375,1.98263680934906,356000,ROP
1992-04-02,2.5,2.5,2.4375,2.46875,2.008057117462158,51200,ROP
1992-04-03,2.4375,2.5,2.4375,2.46875,2.008057117462158,116800,ROP
1992-04-06,2.4375,2.5,2.4375,2.4375,1.98263680934906,71200,ROP
1992-04-07,2.4375,2.5625,2.4375,2.5,2.0334744453430176,116000,ROP
1992-04-08,2.4375,2.5,2.4375,2.5,2.0334744453430176,247200,ROP
